date,ticker,change_noncommercial_long,change_noncommercial_short,change_nonrept_long,change_nonrept_short,change_noncommercial_delta,change_nonreportable_delta
2023-05-30,XAUUSD,1157,-7427,-5716,-114,8584,-5602
2023-05-23,XAUUSD,-19101,-19,-5525,-73,-19082,-5452
2023-05-16,XAUUSD,-11222,4778,2840,-2202,-16000,5042
2023-05-09,XAUUSD,4059,3812,4510,-174,247,4684
2023-05-02,XAUUSD,9227,-1076,-3546,1101,10303,-4647
2023-04-25,XAUUSD,-6875,-2246,401,269,-4629,132
2023-04-18,XAUUSD,-104,2748,1545,-1184,-2852,2729
2023-04-11,XAUUSD,-5999,-3528,362,-407,-2471,769
2023-04-04,XAUUSD,21029,7443,1352,-1804,13586,3156
2023-03-28,XAUUSD,7244,-15781,-236,4849,23025,-5085
2023-03-21,XAUUSD,7068,-11206,5829,-4025,18274,9854
2023-03-14,XAUUSD,15249,-26608,-1845,3492,41857,-5337
2023-03-07,XAUUSD,7155,17274,1682,130,-10119,1552
2023-02-28,XAUUSD,-1766,-3258,-1998,1362,1492,-3360
2023-02-21,XAUUSD,-189,-1761,-1488,-199,1572,-1289
2023-02-14,XAUUSD,-12924,10362,-2632,-2024,-23286,-608
2023-02-07,XAUUSD,-33119,-1653,4092,180,-31466,3912
2023-01-31,XAUUSD,3106,498,-3896,-1254,2608,-2642
2023-01-24,XAUUSD,6437,2004,-248,-456,4433,208
2023-01-17,XAUUSD,3308,603,1755,1025,2705,730
2023-01-10,XAUUSD,12765,3896,4036,401,8869,3635
2023-01-03,XAUUSD,1276,-3510,2913,1501,4786,1412
2022-12-27,XAUUSD,3389,-4643,728,-2502,8032,3230
2022-12-20,XAUUSD,1727,-1472,1387,601,3199,786
2022-12-13,XAUUSD,12937,2413,-476,1598,10524,-2074
2022-12-06,XAUUSD,2311,-2811,3839,-1885,5122,5724
2022-11-29,XAUUSD,-5123,987,-6350,-1629,-6110,-4721
2022-11-22,XAUUSD,-12998,-2842,3323,-2589,-10156,5912
2022-11-15,XAUUSD,4147,-39784,-1072,-305,43931,-767
2022-11-08,XAUUSD,6794,-10921,-514,839,17715,-1353
2022-11-01,XAUUSD,3488,6897,-1078,944,-3409,-2022
2022-10-25,XAUUSD,1963,10887,351,1244,-8924,-893
2022-10-18,XAUUSD,-1671,15793,2298,-1468,-17464,3766
2022-10-11,XAUUSD,-3403,-9438,284,-861,6035,1145
2022-10-04,XAUUSD,8810,-27494,-3621,-1727,36304,-1894
2022-09-27,XAUUSD,-7403,6238,-175,-526,-13641,351
2022-09-20,XAUUSD,-11375,20247,-56,3832,-31622,-3888
2022-09-13,XAUUSD,-5595,918,1758,-1629,-6513,3387
2022-09-06,XAUUSD,-3787,10090,-120,1618,-13877,-1738
2022-08-30,XAUUSD,-2113,6000,626,906,-8113,-280
2022-08-23,XAUUSD,-769,14548,466,786,-15317,-320
2022-08-16,XAUUSD,-4710,-3023,-101,-943,-1687,842
2022-08-09,XAUUSD,778,-17747,446,-18,18525,464
2022-08-02,XAUUSD,467,-31169,-5340,-847,31636,-4493
2022-07-26,XAUUSD,657,2922,-473,1102,-2265,-1575
2022-07-19,XAUUSD,-10122,13044,-9289,-6929,-23166,-2360
2022-07-12,XAUUSD,-16680,10859,8650,8908,-27539,-258
2022-07-05,XAUUSD,-906,11127,-890,3499,-12033,-4389
2022-06-28,XAUUSD,593,6187,443,-229,-5594,672
2022-06-21,XAUUSD,1523,-7166,-1346,-1017,8689,-329
