Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,ExitReason,Duration,Tag
9,170,189,2053.225302,2046.1674635229733,2046.1674635229733,2058.803148323577,-63.52054629323857,-0.0034374398514140925,2024-01-15 12:00:00,2024-01-16 10:00:00,sl,0 days 22:00:00,103
12,188,189,2049.644944,2044.3855435227579,2044.3855435227579,2073.640506885536,-63.11280572690703,-0.002566005635580071,2024-01-16 09:00:00,2024-01-16 10:00:00,sl,0 days 01:00:00,108
23,189,190,2043.284308,2040.3332021889978,2040.3332021889978,2057.782750147432,-67.87543365305078,-0.0014442952453791458,2024-01-16 10:00:00,2024-01-16 11:00:00,sl,0 days 01:00:00,109
22,190,192,2041.414121,2038.3463957824054,2038.3463957824054,2048.4467595708643,-67.48995478708275,-0.0015027451735720732,2024-01-16 11:00:00,2024-01-16 13:00:00,sl,0 days 02:00:00,110
74,198,206,2025.5325329999998,2028.91,2022.488673762121,2032.5104597575255,249.93255800001862,0.001667446434443498,2024-01-16 19:00:00,2024-01-17 04:00:00,time,0 days 09:00:00,111
19,201,207,2028.492829,2025.0662708531763,2025.0662708531763,2037.8120764947262,-65.10460478965047,-0.0016892138329682727,2024-01-16 22:00:00,2024-01-17 05:00:00,sl,0 days 07:00:00,113
11,200,207,2029.572937,2023.7329721515077,2023.7329721515077,2044.4614049152347,-64.2396133334139,-0.002877435317562127,2024-01-16 21:00:00,2024-01-17 05:00:00,sl,0 days 08:00:00,112
64,207,209,2024.2224019999999,2021.0607126815116,2021.0607126815116,2029.5198564022623,-202.34811638324754,-0.0015619278372596135,2024-01-17 05:00:00,2024-01-17 07:00:00,sl,0 days 02:00:00,117
33,206,209,2029.112891,2023.274249904116,2023.274249904116,2038.9686560842592,-192.67515616417154,-0.002877435317562127,2024-01-17 04:00:00,2024-01-17 07:00:00,sl,0 days 03:00:00,116
33,203,209,2028.282808,2022.4465554142566,2022.4465554142566,2038.1345412223134,-192.59633532952876,-0.002877435317562127,2024-01-17 01:00:00,2024-01-17 07:00:00,sl,0 days 06:00:00,115
11,202,209,2027.852765,2022.017749835173,2022.017749835173,2042.7286141395487,-64.1851668130987,-0.002877435317562238,2024-01-16 23:00:00,2024-01-17 07:00:00,sl,0 days 08:00:00,114
72,208,209,2025.592539,2022.7679832901456,2022.7679832901456,2039.1617113906973,-203.36801110951637,-0.0013944342978517987,2024-01-17 06:00:00,2024-01-17 07:00:00,sl,0 days 01:00:00,118
10,211,213,2025.932573,2019.965626120959,2019.965626120959,2038.987547147959,-59.66946879040961,-0.0029452840427977023,2024-01-17 09:00:00,2024-01-17 11:00:00,sl,0 days 02:00:00,121
22,212,216,2021.6621460000001,2028.721830573468,2018.6871715181844,2028.721830573468,155.31306061629266,0.003492019963590831,2024-01-17 10:00:00,2024-01-17 14:00:00,tp,0 days 04:00:00,122
10,214,217,2026.3126109999998,2020.3445448011018,2020.3445448011018,2039.3700340874407,-59.680661988979864,-0.0029452840427977023,2024-01-17 12:00:00,2024-01-17 15:00:00,sl,0 days 03:00:00,124
27,216,217,2028.5928390000001,2026.121124932501,2026.121124932501,2035.786848394134,-66.73627982247513,-0.001218437736730582,2024-01-17 14:00:00,2024-01-17 15:00:00,sl,0 days 01:00:00,125
10,213,218,2024.052385,2018.090975808673,2018.090975808673,2037.095243342102,-59.61409191326993,-0.0029452840427975913,2024-01-17 11:00:00,2024-01-17 16:00:00,sl,0 days 05:00:00,123
